PRODUCTO,UNIDAD,EXISTENCIA,DESCRIPCION DEL PRODUCTO
10292,4 LTS,1.200,THINNER E
1100,4 LTS,5.000,REAL FLEX BLANCO
11710,4 LTS,2.000,RESISTOL 5000 4 L
11801,4 LTS,1.000,VINIMEX BIOSENSE SAT B1
120,4 LTS,1.000,COMEX 100 ALUMINIO
122,4 LTS,0.930,COMEX 100 MARRON
1229,4 LTS,2.500,COMEX 100 METAL RUSTIC VIVID
131,4 LTS,0.560,COMEX 100 ORO BRILLANTE
137,4 LTS,1.000,COMEX 100 COBRE BRILLANTE
1400,4 LTS,2.000,DUREX MASTER BLANCO
1416,4 LTS,2.360,DUREX MASTER CAFE COLOMBIA
1421,4 LTS,0.370,DUREX MASTER ROJO OXIDO
1436,4 LTS,3.000,DUREX MASTER VIVID B1
1437,4 LTS,3.000,DUREX MASTER VIVID B2
1600,4 LTS,1.625,COLOR CAR ESM ACR TRANSPARENTE
1601,4 LTS,0.250,COLOR CAR ESM ACR BLANCO ACABADO
1603,4 LTS,0.500,COLOR CAR ESM ACR AMARILLO CROMO
1632,4 LTS,0.450,COLOR CAR ESM ACR ALUMINIO MEDIO
1735,4 LTS,0.820,COLOR CAR ESM SEC RAP AZUL DE PRUSIA
1736,4 LTS,0.300,COLOR CAR ESM SEC RAP VDE ORGANICO
1741,4 LTS,2.810,COLOR CAR ESM SEC RAP TRANSPARENTE
2030,4 LTS,1.000,ALBERMEX BLANCO
2080,4 LTS,2.000,ALBERMEX AZUL PAVO
21901,4 LTS,0.800,POLYFORM SELLADOR BASE AGUA
21902,4 LTS,0.575,POLYFORM LACA BASE AGUA
21903,4 LTS,0.170,POLYFORM SELLADOR ACABADO B/A VIVID B1
21906,4 LTS,0.437,PÓLYFORM BARNIZ PU B/A P/ INT. BRILLANTE
2252,4 LTS,0.375,COMEX PRIMA MTY AZUL LEGENDARIO
241,4 LTS,7.000,PRIMA VIVID B1
242,4 LTS,5.000,PRIMA VIVID B2
243,4 LTS,5.250,PRIMA VIVID B3
244,4 LTS,2.750,PRIMA VIVID B4
25027,4 LTS,0.560,COMEX 100 SATINADO BLANCO
25031,4 LTS,1.000,COMEX 100 MATE VIVID B1
25032,4 LTS,2.000,COMEX 100 MATE VIVID B2
25033,4 LTS,0.440,COMEX 100 MATE VIVID B3
25034,4 LTS,0.740,COMEX 100 MATE VIVID B4
25066,4 LTS,1.750,COMEX 100 SATINADO VIVID B1
25067,4 LTS,2.000,COMEX 100 SATINADO VIVID B2
25068,4 LTS,0.750,COMEX 100 SATINADO VIVID B3
25069,4 LTS,3.000,COMEX 100 SATINADO VIVID B4
251,4 LTS,2.250,COMEX PRIMA NEGRO
253,4 LTS,1.875,COMEX PRIMA NARANJA BARRO
255,4 LTS,2.000,COMEX PRIMA ROJO RUSTICO
258,4 LTS,1.000,COMEX PRIMA VIOLETA MISTICO
26300,4 LTS,2.680,E-10 A RESINA BLANCO
26301,4 LTS,0.786,E-10 A RESINA NEGRO
2700,4 LTS,2.000,BRILLOLUX BLANCO
2702,4 LTS,2.000,BRILLOLUX ROJO CHINO
